location,county_fips,activity,human_cases,neuro_cases,blood_donor_cases,year
"KY, Lee",21129,Human infections and non-human activity,0.0,0.0,1.0,2024
"KY, Leslie",21131,Non-human activity,0.0,0.0,0.0,2024
"KY, Letcher",21133,Non-human activity,0.0,0.0,0.0,2024
"KY, Lincoln",21137,Human infections and non-human activity,2.0,2.0,0.0,2024
"KY, Livingston",21139,Non-human activity,0.0,0.0,0.0,2024
"KY, Logan",21141,Human infections and non-human activity,2.0,2.0,0.0,2024
"KY, Mclean",21149,Non-human activity,0.0,0.0,0.0,2024
"KY, Madison",21151,Human infections and non-human activity,1.0,1.0,1.0,2024
"KY, Magoffin",21153,Non-human activity,0.0,0.0,0.0,2024
"KY, Marion",21155,Human infections and non-human activity,2.0,2.0,0.0,2024
"KY, Marshall",21157,Human infections and non-human activity,1.0,1.0,1.0,2024
"KY, Martin",21159,Non-human activity,0.0,0.0,0.0,2024
"KY, Mason",21161,Human infections and non-human activity,1.0,1.0,0.0,2024
"KY, Meade",21163,Non-human activity,0.0,0.0,0.0,2024
"KY, Menifee",21165,Non-human activity,0.0,0.0,0.0,2024
"KY, Metcalfe",21169,Human infections and non-human activity,1.0,0.0,0.0,2024
"KY, Monroe",21171,Human infections and non-human activity,3.0,3.0,0.0,2024
"KY, Montgomery",21173,Non-human activity,0.0,0.0,0.0,2024
"KY, Morgan",21175,Non-human activity,0.0,0.0,0.0,2024
"KY, Muhlenberg",21177,Non-human activity,0.0,0.0,0.0,2024
"KY, Nelson",21179,Human infections and non-human activity,2.0,0.0,0.0,2024
"KY, Nicholas",21181,Human infections and non-human activity,0.0,0.0,2.0,2024
"KY, Ohio",21183,Non-human activity,0.0,0.0,0.0,2024
"KY, Oldham",21185,Non-human activity,0.0,0.0,0.0,2024
"KY, Pendleton",21191,Non-human activity,0.0,0.0,0.0,2024
"KY, Perry",21193,Non-human activity,0.0,0.0,0.0,2024
"KY, Pike",21195,Non-human activity,0.0,0.0,0.0,2024
"KY, Powell",21197,Non-human activity,0.0,0.0,0.0,2024
"KY, Pulaski",21199,Human infections and non-human activity,2.0,2.0,0.0,2024
"KY, Rockcastle",21203,Non-human activity,0.0,0.0,0.0,2024
"KY, Russell",21207,Human infections and non-human activity,2.0,0.0,0.0,2024
"KY, Scott",21209,Human infections and non-human activity,0.0,0.0,1.0,2024
"KY, Shelby",21211,Non-human activity,0.0,0.0,0.0,2024
"KY, Simpson",21213,Human infections and non-human activity,2.0,1.0,0.0,2024
"KY, Spencer",21215,Non-human activity,0.0,0.0,0.0,2024
"KY, Todd",21219,Human infections and non-human activity,1.0,0.0,0.0,2024
"KY, Trigg",21221,Non-human activity,0.0,0.0,0.0,2024
"KY, Trimble",21223,Non-human activity,0.0,0.0,0.0,2024
"KY, Union",21225,Human infections and non-human activity,2.0,2.0,0.0,2024
"KY, Warren",21227,Human infections and non-human activity,3.0,2.0,0.0,2024
"KY, Washington",21229,Human infections and non-human activity,1.0,0.0,0.0,2024
"KY, Wayne",21231,Human infections and non-human activity,2.0,1.0,0.0,2024
"KY, Webster",21233,Non-human activity,0.0,0.0,0.0,2024
"KY, Whitley",21235,Human infections and non-human activity,0.0,0.0,1.0,2024
"KY, Wolfe",21237,Human infections and non-human activity,2.0,2.0,0.0,2024
"LA, Avoyelles Parish",22009,Human infections and non-human activity,9.0,8.0,2.0,2024
"LA, Bienville Parish",22013,Human infections and non-human activity,3.0,2.0,0.0,2024
"LA, Caldwell Parish",22021,Human infections and non-human activity,6.0,5.0,0.0,2024
"LA, Catahoula Parish",22025,Human infections,4.0,2.0,1.0,2024
"LA, Claiborne Parish",22027,Human infections and non-human activity,2.0,2.0,0.0,2024
"LA, Concordia Parish",22029,Human infections and non-human activity,10.0,6.0,1.0,2024
"LA, East Carroll Parish",22035,Non-human activity,0.0,0.0,0.0,2024
"LA, Franklin Parish",22041,Human infections and non-human activity,15.0,11.0,0.0,2024
"LA, Grant Parish",22043,Human infections and non-human activity,6.0,6.0,2.0,2024
"LA, Iberville Parish",22047,Human infections and non-human activity,21.0,8.0,2.0,2024
"LA, Jackson Parish",22049,Human infections and non-human activity,2.0,0.0,0.0,2024
"LA, La Salle Parish",22059,Human infections and non-human activity,3.0,1.0,0.0,2024
"LA, Madison Parish",22065,Human infections and non-human activity,3.0,3.0,0.0,2024
"LA, Natchitoches Parish",22069,Human infections and non-human activity,9.0,5.0,3.0,2024
"LA, Rapides Parish",22079,Human infections and non-human activity,114.0,84.0,14.0,2024
"LA, Richland Parish",22083,Human infections and non-human activity,9.0,6.0,0.0,2024
"LA, Sabine Parish",22085,Human infections and non-human activity,1.0,1.0,0.0,2024
"LA, St Helena Parish",22091,Human infections and non-human activity,7.0,6.0,0.0,2024
"LA, St Landry Parish",22097,Human infections and non-human activity,14.0,9.0,3.0,2024
"LA, Tensas Parish",22107,Human infections and non-human activity,1.0,0.0,0.0,2024
"LA, Union Parish",22111,Human infections and non-human activity,6.0,4.0,1.0,2024
"LA, Vermilion Parish",22113,Human infections and non-human activity,3.0,3.0,1.0,2024
"LA, Webster Parish",22119,Human infections and non-human activity,23.0,14.0,2.0,2024
"LA, West Carroll Parish",22123,Human infections and non-human activity,9.0,6.0,3.0,2024
"LA, West Feliciana Parish",22125,Human infections and non-human activity,4.0,3.0,0.0,2024
"LA, Winn Parish",22127,Human infections and non-human activity,5.0,3.0,0.0,2024
"ME, Androscoggin",23001,Non-human activity,0.0,0.0,0.0,2024
"ME, Knox",23013,Non-human activity,0.0,0.0,0.0,2024
"ME, Lincoln",23015,Non-human activity,0.0,0.0,0.0,2024
"ME, Oxford",23017,Non-human activity,0.0,0.0,0.0,2024
"ME, Piscataquis",23021,Non-human activity,0.0,0.0,0.0,2024
"ME, Somerset",23025,Non-human activity,0.0,0.0,0.0,2024
"ME, Washington",23029,Non-human activity,0.0,0.0,0.0,2024
"MD, Allegany",24001,Human infections and non-human activity,1.0,1.0,0.0,2024
"MD, Anne Arundel",24003,Human infections and non-human activity,58.0,41.0,7.0,2024
"MD, Baltimore",24005,Human infections and non-human activity,80.0,61.0,13.0,2024
"MD, Calvert",24009,Human infections and non-human activity,3.0,1.0,1.0,2024
"MD, Caroline",24011,Human infections and non-human activity,2.0,2.0,0.0,2024
"MD, Carroll",24013,Human infections and non-human activity,4.0,3.0,1.0,2024
"MD, Cecil",24015,Human infections and non-human activity,8.0,4.0,1.0,2024
"MD, Charles",24017,Human infections and non-human activity,3.0,1.0,0.0,2024
"MD, Dorchester",24019,Human infections and non-human activity,4.0,4.0,0.0,2024
"MD, Frederick",24021,Human infections and non-human activity,14.0,7.0,6.0,2024
"MD, Garrett",24023,Non-human activity,0.0,0.0,0.0,2024
"MD, Harford",24025,Human infections and non-human activity,19.0,12.0,4.0,2024
"MD, Howard",24027,Human infections and non-human activity,8.0,5.0,3.0,2024
"MD, Kent",24029,Human infections and non-human activity,2.0,0.0,1.0,2024
"MD, Montgomery",24031,Human infections and non-human activity,67.0,36.0,5.0,2024
"MD, Prince Georges",24033,Human infections and non-human activity,50.0,39.0,5.0,2024
"MD, Queen Annes",24035,Human infections and non-human activity,7.0,3.0,0.0,2024
"MD, St Marys",24037,Human infections and non-human activity,1.0,1.0,0.0,2024
"MD, Somerset",24039,Non-human activity,0.0,0.0,0.0,2024
"MD, Talbot",24041,Human infections and non-human activity,5.0,2.0,2.0,2024
"MD, Washington",24043,Human infections and non-human activity,11.0,7.0,0.0,2024
"MD, Wicomico",24045,Human infections and non-human activity,1.0,0.0,1.0,2024
"MD, Worcester",24047,Human infections and non-human activity,2.0,1.0,0.0,2024
"MD, Baltimore City",24510,Human infections and non-human activity,69.0,56.0,1.0,2024
"MA, Dukes",25007,Non-human activity,0.0,0.0,0.0,2024
"MA, Essex",25009,Human infections and non-human activity,20.0,16.0,1.0,2024
"MA, Hampshire",25015,Human infections and non-human activity,2.0,2.0,0.0,2024
"MA, Nantucket",25019,Non-human activity,0.0,0.0,0.0,2024
"MI, Alpena",26007,Non-human activity,0.0,0.0,0.0,2024
"MI, Antrim",26009,Human infections and non-human activity,1.0,0.0,1.0,2024
"MI, Arenac",26011,Human infections and non-human activity,1.0,1.0,0.0,2024
"MI, Barry",26015,Human infections and non-human activity,6.0,4.0,0.0,2024
"MI, Benzie",26019,Non-human activity,0.0,0.0,0.0,2024
"MI, Berrien",26021,Human infections and non-human activity,9.0,7.0,0.0,2024
"MI, Branch",26023,Human infections and non-human activity,1.0,1.0,0.0,2024
"MI, Clare",26035,Human infections and non-human activity,0.0,0.0,1.0,2024
"MI, Clinton",26037,Human infections and non-human activity,10.0,8.0,1.0,2024
"MI, Crawford",26039,Non-human activity,0.0,0.0,0.0,2024
"MI, Eaton",26045,Human infections and non-human activity,5.0,5.0,0.0,2024
"MI, Gladwin",26051,Human infections and non-human activity,1.0,0.0,0.0,2024
"MI, Gratiot",26057,Human infections and non-human activity,1.0,1.0,1.0,2024
"MI, Hillsdale",26059,Human infections and non-human activity,3.0,3.0,0.0,2024
"MI, Iosco",26069,Non-human activity,0.0,0.0,0.0,2024
"MI, Iron",26071,Non-human activity,0.0,0.0,0.0,2024
"MI, Isabella",26073,Human infections and non-human activity,4.0,2.0,2.0,2024
"MI, Jackson",26075,Human infections and non-human activity,6.0,5.0,2.0,2024
"MI, Lake",26085,Non-human activity,0.0,0.0,0.0,2024
"MI, Leelanau",26089,Human infections and non-human activity,1.0,1.0,0.0,2024
"MI, Lenawee",26091,Human infections and non-human activity,9.0,8.0,1.0,2024
"MI, Mackinac",26097,Non-human activity,0.0,0.0,0.0,2024
"MI, Manistee",26101,Non-human activity,0.0,0.0,0.0,2024
"MI, Mecosta",26107,Non-human activity,0.0,0.0,0.0,2024
"MI, Missaukee",26113,Non-human activity,0.0,0.0,0.0,2024
"MI, Montcalm",26117,Human infections and non-human activity,3.0,2.0,0.0,2024
"MI, Newaygo",26123,Human infections and non-human activity,3.0,3.0,0.0,2024
"MI, Oceana",26127,Non-human activity,0.0,0.0,0.0,2024
"MI, Ogemaw",26129,Human infections and non-human activity,1.0,1.0,0.0,2024
"MI, Osceola",26133,Non-human activity,0.0,0.0,0.0,2024
"MI, Oscoda",26135,Human infections and non-human activity,1.0,1.0,0.0,2024
"MI, Otsego",26137,Human infections and non-human activity,1.0,1.0,0.0,2024
"MI, Presque Isle",26141,Human infections and non-human activity,1.0,1.0,0.0,2024
"MI, St Clair",26147,Human infections and non-human activity,10.0,10.0,1.0,2024
"MI, St Joseph",26149,Human infections and non-human activity,7.0,3.0,0.0,2024
"MI, Shiawassee",26155,Human infections and non-human activity,2.0,2.0,0.0,2024
"MI, Van Buren",26159,Human infections and non-human activity,5.0,5.0,0.0,2024
"MI, Wexford",26165,Human infections and non-human activity,1.0,1.0,0.0,2024
"MN, Aitkin",27001,Non-human activity,0.0,0.0,0.0,2024
"MN, Beltrami",27007,Human infections and non-human activity,4.0,3.0,0.0,2024
"MN, Big Stone",27011,Human infections and non-human activity,22.0,6.0,8.0,2024
"MN, Brown",27015,Human infections and non-human activity,12.0,3.0,4.0,2024
"MN, Carlton",27017,Non-human activity,0.0,0.0,0.0,2024
"MN, Chippewa",27023,Human infections and non-human activity,13.0,6.0,1.0,2024
"MN, Clearwater",27029,Non-human activity,0.0,0.0,0.0,2024
"MN, Cook",27031,Non-human activity,0.0,0.0,0.0,2024
"MN, Crow Wing",27035,Human infections and non-human activity,3.0,2.0,2.0,2024
"MN, Dodge",27039,Human infections and non-human activity,2.0,1.0,2.0,2024
"MN, Faribault",27043,Human infections and non-human activity,4.0,3.0,3.0,2024
"MN, Goodhue",27049,Human infections and non-human activity,2.0,2.0,0.0,2024
"MN, Grant",27051,Human infections and non-human activity,8.0,2.0,1.0,2024
"MN, Houston",27055,Human infections and non-human activity,1.0,1.0,2.0,2024
"MN, Hubbard",27057,Human infections and non-human activity,3.0,2.0,2.0,2024
"MN, Isanti",27059,Human infections and non-human activity,6.0,1.0,0.0,2024
"MN, Kanabec",27065,Non-human activity,0.0,0.0,0.0,2024
"MN, Koochiching",27071,Human infections and non-human activity,2.0,2.0,0.0,2024
"MN, Lake",27075,Human infections and non-human activity,1.0,1.0,0.0,2024
"MN, Lake of The Woods",27077,Non-human activity,0.0,0.0,0.0,2024
"MN, Mahnomen",27087,Human infections and non-human activity,2.0,1.0,0.0,2024
"MN, Marshall",27089,Human infections and non-human activity,8.0,4.0,0.0,2024
"MN, Nicollet",27103,Human infections and non-human activity,4.0,1.0,5.0,2024
"MN, Norman",27107,Human infections and non-human activity,16.0,3.0,1.0,2024
"MN, Olmsted",27109,Human infections and non-human activity,6.0,2.0,6.0,2024
"MN, Pennington",27113,Human infections and non-human activity,2.0,0.0,1.0,2024
"MN, Pine",27115,Human infections and non-human activity,2.0,1.0,0.0,2024
"MN, Pope",27121,Human infections and non-human activity,6.0,1.0,0.0,2024
"MN, Red Lake",27125,Human infections and non-human activity,2.0,1.0,0.0,2024
"MN, Rock",27133,Human infections and non-human activity,10.0,7.0,2.0,2024
"MN, Roseau",27135,Human infections and non-human activity,9.0,2.0,0.0,2024
"MN, Steele",27147,Human infections and non-human activity,4.0,3.0,1.0,2024
"MN, Todd",27153,Human infections and non-human activity,6.0,2.0,1.0,2024
"MN, Wadena",27159,Human infections and non-human activity,6.0,4.0,0.0,2024
"MN, Wilkin",27167,Human infections and non-human activity,14.0,8.0,3.0,2024
"MS, Adams",28001,Human infections and non-human activity,36.0,21.0,1.0,2024
"MS, Alcorn",28003,Human infections and non-human activity,2.0,2.0,0.0,2024
"MS, Amite",28005,Human infections and non-human activity,1.0,0.0,0.0,2024
"MS, Benton",28009,Non-human activity,0.0,0.0,0.0,2024
"MS, Carroll",28015,Human infections and non-human activity,1.0,0.0,1.0,2024
"MS, Choctaw",28019,Non-human activity,0.0,0.0,0.0,2024
"MS, Claiborne",28021,Human infections and non-human activity,5.0,4.0,0.0,2024
"MS, Clarke",28023,Human infections and non-human activity,8.0,7.0,2.0,2024
"MS, Clay",28025,Human infections and non-human activity,12.0,7.0,1.0,2024
"MS, Covington",28031,Human infections and non-human activity,8.0,3.0,0.0,2024
"MS, Forrest",28035,Human infections and non-human activity,113.0,78.0,10.0,2024
"MS, Franklin",28037,Human infections and non-human activity,1.0,0.0,2.0,2024
"MS, George",28039,Human infections and non-human activity,2.0,2.0,0.0,2024
"MS, Greene",28041,Human infections and non-human activity,1.0,1.0,0.0,2024
"MS, Holmes",28051,Human infections and non-human activity,4.0,2.0,1.0,2024
"MS, Itawamba",28057,Human infections and non-human activity,1.0,1.0,0.0,2024
"MS, Jasper",28061,Human infections and non-human activity,7.0,5.0,0.0,2024
"MS, Jefferson",28063,Human infections and non-human activity,2.0,2.0,0.0,2024
"MS, Jefferson Davis",28065,Human infections and non-human activity,5.0,2.0,0.0,2024
"MS, Jones",28067,Human infections and non-human activity,57.0,31.0,3.0,2024
"MS, Kemper",28069,Human infections and non-human activity,3.0,2.0,0.0,2024
"MS, Lafayette",28071,Non-human activity,0.0,0.0,0.0,2024
"MS, Lamar",28073,Human infections and non-human activity,39.0,26.0,1.0,2024
"MS, Lauderdale",28075,Human infections and non-human activity,25.0,12.0,1.0,2024
"MS, Leake",28079,Human infections and non-human activity,12.0,7.0,0.0,2024
"MS, Leflore",28083,Human infections and non-human activity,29.0,12.0,5.0,2024
"MS, Marion",28091,Human infections and non-human activity,30.0,11.0,4.0,2024
"MS, Marshall",28093,Human infections and non-human activity,1.0,1.0,1.0,2024
"MS, Montgomery",28097,Human infections and non-human activity,3.0,1.0,0.0,2024
"MS, Neshoba",28099,Human infections and non-human activity,16.0,7.0,0.0,2024
"MS, Newton",28101,Human infections and non-human activity,3.0,1.0,0.0,2024
"MS, Noxubee",28103,Human infections and non-human activity,2.0,2.0,0.0,2024
"MS, Panola",28107,Human infections and non-human activity,13.0,11.0,1.0,2024
"MS, Pearl River",28109,Human infections and non-human activity,26.0,22.0,2.0,2024
"MS, Perry",28111,Human infections and non-human activity,12.0,6.0,0.0,2024
"MS, Pike",28113,Human infections and non-human activity,22.0,12.0,1.0,2024
"MS, Pontotoc",28115,Human infections and non-human activity,3.0,1.0,0.0,2024
"MS, Quitman",28119,Human infections and non-human activity,2.0,1.0,0.0,2024
"MS, Scott",28123,Human infections and non-human activity,18.0,10.0,3.0,2024
"MS, Sharkey",28125,Non-human activity,0.0,0.0,0.0,2024
"MS, Simpson",28127,Human infections and non-human activity,11.0,4.0,0.0,2024
"MS, Smith",28129,Human infections and non-human activity,4.0,3.0,1.0,2024
"MS, Stone",28131,Human infections and non-human activity,6.0,3.0,1.0,2024
"MS, Sunflower",28133,Human infections and non-human activity,21.0,10.0,0.0,2024
"MS, Tallahatchie",28135,Human infections and non-human activity,9.0,6.0,1.0,2024
"MS, Tate",28137,Human infections and non-human activity,6.0,2.0,1.0,2024
"MS, Tippah",28139,Human infections and non-human activity,1.0,0.0,0.0,2024
"MS, Tishomingo",28141,Non-human activity,0.0,0.0,0.0,2024
"MS, Tunica",28143,Non-human activity,0.0,0.0,0.0,2024
"MS, Walthall",28147,Human infections and non-human activity,8.0,3.0,0.0,2024
"MS, Warren",28149,Human infections and non-human activity,15.0,9.0,0.0,2024
"MS, Wayne",28153,Human infections and non-human activity,16.0,5.0,1.0,2024
"MS, Webster",28155,Non-human activity,0.0,0.0,0.0,2024
"MS, Wilkinson",28157,Human infections and non-human activity,1.0,0.0,0.0,2024
"MS, Winston",28159,Human infections and non-human activity,2.0,0.0,0.0,2024
"MO, Adair",29001,Human infections and non-human activity,3.0,1.0,1.0,2024
"MO, Andrew",29003,Human infections and non-human activity,1.0,1.0,0.0,2024
"MO, Atchison",29005,Non-human activity,0.0,0.0,0.0,2024
"MO, Audrain",29007,Human infections and non-human activity,2.0,1.0,0.0,2024
"MO, Barry",29009,Non-human activity,0.0,0.0,0.0,2024
"MO, Barton",29011,Human infections and non-human activity,1.0,1.0,0.0,2024
"MO, Bates",29013,Non-human activity,0.0,0.0,0.0,2024
"MO, Benton",29015,Human infections and non-human activity,1.0,0.0,0.0,2024
"MO, Bollinger",29017,Human infections and non-human activity,1.0,0.0,1.0,2024
"MO, Buchanan",29021,Human infections and non-human activity,11.0,7.0,2.0,2024
"MO, Caldwell",29025,Human infections and non-human activity,1.0,1.0,0.0,2024
"MO, Callaway",29027,Human infections and non-human activity,5.0,3.0,1.0,2024
"MO, Camden",29029,Human infections and non-human activity,2.0,0.0,0.0,2024
"MO, Cape Girardeau",29031,Human infections and non-human activity,2.0,0.0,1.0,2024
"MO, Carroll",29033,Human infections and non-human activity,3.0,3.0,0.0,2024
"MO, Carter",29035,Human infections and non-human activity,1.0,1.0,0.0,2024
"MO, Cass",29037,Human infections and non-human activity,5.0,3.0,1.0,2024
"MO, Cedar",29039,Human infections and non-human activity,1.0,1.0,0.0,2024
"MO, Chariton",29041,Human infections and non-human activity,2.0,1.0,0.0,2024
"MO, Christian",29043,Human infections and non-human activity,1.0,1.0,1.0,2024
"MO, Clark",29045,Human infections and non-human activity,1.0,1.0,0.0,2024
"MO, Clinton",29049,Human infections and non-human activity,3.0,2.0,1.0,2024
"MO, Cole",29051,Human infections and non-human activity,6.0,3.0,2.0,2024
"MO, Cooper",29053,Non-human activity,0.0,0.0,0.0,2024
"MO, Crawford",29055,Human infections and non-human activity,3.0,2.0,1.0,2024
"MO, Dade",29057,Non-human activity,0.0,0.0,0.0,2024
"MO, Dallas",29059,Human infections and non-human activity,1.0,1.0,1.0,2024
"MO, Daviess",29061,Human infections and non-human activity,3.0,3.0,1.0,2024
"MO, De Kalb",29063,Non-human activity,0.0,0.0,0.0,2024
"MO, Dent",29065,Human infections and non-human activity,1.0,1.0,0.0,2024
"MO, Douglas",29067,Non-human activity,0.0,0.0,0.0,2024
"MO, Dunklin",29069,Human infections and non-human activity,3.0,3.0,0.0,2024
"MO, Gasconade",29073,Non-human activity,0.0,0.0,0.0,2024
"MO, Gentry",29075,Non-human activity,0.0,0.0,0.0,2024
"MO, Henry",29083,Human infections and non-human activity,1.0,0.0,0.0,2024
"MO, Hickory",29085,Human infections and non-human activity,2.0,1.0,0.0,2024
"MO, Holt",29087,Human infections and non-human activity,2.0,1.0,1.0,2024
"MO, Howard",29089,Human infections and non-human activity,2.0,1.0,0.0,2024
"MO, Howell",29091,Human infections and non-human activity,3.0,3.0,0.0,2024
"MO, Iron",29093,Human infections and non-human activity,1.0,1.0,0.0,2024
"MO, Johnson",29101,Human infections and non-human activity,2.0,0.0,0.0,2024
"MO, Knox",29103,Non-human activity,0.0,0.0,0.0,2024
"MO, Laclede",29105,Human infections and non-human activity,12.0,11.0,0.0,2024
"MO, Lafayette",29107,Human infections and non-human activity,6.0,3.0,1.0,2024
"MO, Lawrence",29109,Human infections and non-human activity,2.0,2.0,1.0,2024
"MO, Lewis",29111,Human infections and non-human activity,1.0,1.0,0.0,2024
"MO, Lincoln",29113,Human infections and non-human activity,2.0,2.0,0.0,2024
"MO, Linn",29115,Human infections and non-human activity,3.0,2.0,2.0,2024
"MO, Livingston",29117,Human infections and non-human activity,1.0,0.0,0.0,2024
"MO, Mcdonald",29119,Human infections and non-human activity,1.0,1.0,0.0,2024
"MO, Macon",29121,Human infections and non-human activity,1.0,1.0,1.0,2024
"MO, Madison",29123,Non-human activity,0.0,0.0,0.0,2024
"MO, Maries",29125,Non-human activity,0.0,0.0,0.0,2024
"MO, Marion",29127,Human infections and non-human activity,1.0,1.0,0.0,2024
"MO, Mercer",29129,Non-human activity,0.0,0.0,0.0,2024
"MO, Miller",29131,Human infections and non-human activity,5.0,3.0,2.0,2024
"MO, Mississippi",29133,Human infections and non-human activity,1.0,0.0,0.0,2024
"MO, Moniteau",29135,Human infections and non-human activity,2.0,1.0,0.0,2024
"MO, Monroe",29137,Human infections and non-human activity,1.0,0.0,1.0,2024
"MO, Morgan",29141,Human infections and non-human activity,2.0,1.0,1.0,2024
"MO, New Madrid",29143,Human infections and non-human activity,1.0,0.0,0.0,2024
"MO, Nodaway",29147,Human infections and non-human activity,3.0,3.0,0.0,2024
"MO, Osage",29151,Human infections and non-human activity,0.0,0.0,1.0,2024
"MO, Ozark",29153,Non-human activity,0.0,0.0,0.0,2024
"MO, Pemiscot",29155,Human infections and non-human activity,1.0,0.0,0.0,2024
"MO, Perry",29157,Non-human activity,0.0,0.0,0.0,2024
"MO, Pettis",29159,Human infections and non-human activity,2.0,1.0,0.0,2024
"MO, Pike",29163,Human infections and non-human activity,2.0,2.0,0.0,2024
"MO, Polk",29167,Non-human activity,0.0,0.0,0.0,2024
"MO, Pulaski",29169,Human infections and non-human activity,5.0,5.0,0.0,2024
"MO, Putnam",29171,Non-human activity,0.0,0.0,0.0,2024
"MO, Ralls",29173,Non-human activity,0.0,0.0,0.0,2024
"MO, Randolph",29175,Human infections and non-human activity,5.0,5.0,0.0,2024
"MO, Ray",29177,Human infections and non-human activity,2.0,0.0,2.0,2024
"MO, Reynolds",29179,Non-human activity,0.0,0.0,0.0,2024
"MO, Ripley",29181,Non-human activity,0.0,0.0,0.0,2024
"MO, St Clair",29185,Non-human activity,0.0,0.0,0.0,2024
"MO, Ste. Genevieve",29186,Human infections and non-human activity,1.0,1.0,0.0,2024
"MO, St Francois",29187,Human infections and non-human activity,3.0,3.0,0.0,2024
"MO, Saline",29195,Human infections and non-human activity,4.0,3.0,0.0,2024
"MO, Schuyler",29197,Human infections and non-human activity,1.0,1.0,0.0,2024
"MO, Scotland",29199,Human infections and non-human activity,1.0,1.0,0.0,2024
"MO, Scott",29201,Human infections and non-human activity,3.0,1.0,0.0,2024
"MO, Shannon",29203,Human infections and non-human activity,3.0,2.0,0.0,2024
"MO, Shelby",29205,Human infections and non-human activity,1.0,0.0,0.0,2024
"MO, Stoddard",29207,Human infections and non-human activity,3.0,3.0,1.0,2024
"MO, Sullivan",29211,Non-human activity,0.0,0.0,0.0,2024
"MO, Taney",29213,Non-human activity,0.0,0.0,0.0,2024
"MO, Texas",29215,Human infections and non-human activity,3.0,3.0,0.0,2024
"MO, Vernon",29217,Human infections and non-human activity,3.0,3.0,0.0,2024
"MO, Warren",29219,Human infections and non-human activity,0.0,0.0,2.0,2024
"MO, Washington",29221,Human infections and non-human activity,1.0,1.0,0.0,2024
"MO, Wayne",29223,Human infections and non-human activity,0.0,0.0,1.0,2024
"MO, Webster",29225,Human infections and non-human activity,2.0,2.0,2.0,2024
"MO, Worth",29227,Human infections and non-human activity,1.0,1.0,0.0,2024
"MO, Wright",29229,Human infections and non-human activity,1.0,1.0,0.0,2024
"MT, Beaverhead",30001,Non-human activity,0.0,0.0,0.0,2024
"MT, Blaine",30005,Human infections and non-human activity,20.0,11.0,1.0,2024
"MT, Broadwater",30007,Non-human activity,0.0,0.0,0.0,2024
"MT, Carter",30011,Human infections and non-human activity,3.0,0.0,0.0,2024
"MT, Chouteau",30015,Human infections and non-human activity,12.0,3.0,0.0,2024
"MT, Fallon",30025,Human infections and non-human activity,8.0,5.0,0.0,2024
"MT, Fergus",30027,Human infections and non-human activity,2.0,0.0,0.0,2024
"MT, Flathead",30029,Human infections and non-human activity,3.0,1.0,1.0,2024
"MT, Gallatin",30031,Human infections and non-human activity,5.0,2.0,1.0,2024
"MT, Garfield",30033,Human infections and non-human activity,7.0,1.0,2.0,2024
"MT, Glacier",30035,Human infections and non-human activity,3.0,1.0,1.0,2024
"MT, Golden Valley",30037,Non-human activity,0.0,0.0,0.0,2024
"MT, Hill",30041,Human infections and non-human activity,30.0,8.0,3.0,2024
"MT, Jefferson",30043,Human infections and non-human activity,0.0,0.0,1.0,2024
"MT, Judith Basin",30045,Non-human activity,0.0,0.0,0.0,2024
"MT, Lake",30047,Human infections and non-human activity,4.0,2.0,1.0,2024
"MT, Liberty",30051,Human infections and non-human activity,3.0,0.0,1.0,2024
"MT, Lincoln",30053,Non-human activity,0.0,0.0,0.0,2024
"MT, Mccone",30055,Human infections and non-human activity,14.0,2.0,1.0,2024
"MT, Madison",30057,Human infections and non-human activity,2.0,0.0,0.0,2024
"MT, Mineral",30061,Human infections,1.0,0.0,0.0,2024
"MT, Missoula",30063,Human infections and non-human activity,3.0,1.0,0.0,2024
"MT, Musselshell",30065,Human infections and non-human activity,2.0,1.0,1.0,2024
"MT, Park",30067,Human infections and non-human activity,3.0,2.0,0.0,2024
"MT, Petroleum",30069,Human infections and non-human activity,1.0,0.0,1.0,2024
"MT, Phillips",30071,Human infections and non-human activity,23.0,2.0,0.0,2024
"MT, Pondera",30073,Human infections and non-human activity,7.0,2.0,0.0,2024
"MT, Powder River",30075,Human infections and non-human activity,7.0,1.0,0.0,2024
"MT, Powell",30077,Non-human activity,0.0,0.0,0.0,2024
"MT, Ravalli",30081,Human infections and non-human activity,4.0,2.0,0.0,2024
"MT, Richland",30083,Human infections and non-human activity,35.0,13.0,2.0,2024
"MT, Roosevelt",30085,Human infections and non-human activity,44.0,12.0,1.0,2024
"MT, Sanders",30089,Human infections and non-human activity,5.0,2.0,0.0,2024
"MT, Silver Bow",30093,Human infections,1.0,1.0,1.0,2024
"MT, Stillwater",30095,Human infections and non-human activity,14.0,6.0,0.0,2024
"MT, Teton",30099,Human infections and non-human activity,7.0,2.0,0.0,2024
"MT, Toole",30101,Human infections and non-human activity,7.0,3.0,1.0,2024
"MT, Treasure",30103,Human infections and non-human activity,5.0,2.0,0.0,2024
"MT, Valley",30105,Human infections and non-human activity,51.0,16.0,2.0,2024
"MT, Wheatland",30107,Human infections and non-human activity,1.0,0.0,0.0,2024
"MT, Wibaux",30109,Human infections and non-human activity,7.0,1.0,0.0,2024
"NE, Arthur",31005,Non-human activity,0.0,0.0,0.0,2024
"NE, Banner",31007,Human infections and non-human activity,5.0,2.0,1.0,2024
"NE, Blaine",31009,Human infections and non-human activity,5.0,1.0,0.0,2024
